0,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape,Cluster
ART_00142-4,182,29787,4,179,572.032967032967,105.57692307692308,194,167.0,0,0
ART_00142-5,137,18165,20,15,521.7591240875913,364.80656934306575,181,144.0,3,3
ART_00143-0,372,58537,22,30,546.4327956989248,325.0376344086021,228,178.0,1,3
ART_00143-1,5334,384895,18,584,570.8978252718409,53.63798275215601,172,69.0,3,1
ART_00143-2,2025,164120,13,239,568.0834567901234,79.64074074074074,148,77.0,0,2
ART_00143-3,634,145732,3,225,574.06309148265,89.02050473186125,255,241.0,0,0
ART_00143-4,45,7043,2,46,573.088888888889,9.5,179,160.0,0,0
ART_00143-5,226,28974,29,28,521.4159292035399,364.08849557522126,205,128.5,3,3
ART_00144-0,53,3557,77,1,354.0566037735849,434.4433962264151,71,67.0,0,4
ART_00144-1,6536,498655,28,568,566.6017441860465,113.09195226438186,217,70.0,3,1
ART_00144-2,460,112353,6,162,574.0586956521738,217.05,255,255.0,0,0
ART_00144-3,138,9928,8,124,574.0797101449275,221.07971014492756,93,71.0,0,2
ART_00144-4,13,2453,0,12,573.0,194.5,200,186.0,0,0
ART_00144-5,2318,214657,11,233,570.3334771354616,94.42924935289044,255,79.0,0,0
ART_00144-6,169,22752,17,17,545.3491124260355,332.1272189349113,186,147.0,2,3
ART_00144-7,453,57701,46,38,506.75275938189833,379.1335540838852,181,134.0,1,3
ART_00144-8,22,1508,29,1,274.09090909090907,433.4545454545455,75,68.5,0,4
ART_00144-9,53,3674,79,1,349.6603773584906,433.48113207547175,75,70.0,0,4
ART_00145-0,90,10521,20,18,509.9555555555555,380.54444444444437,173,123.0,1,3
ART_00145-1,6268,464088,24,602,569.9377791959157,58.95134014039565,198,71.0,3,1
ART_00145-2,2402,202047,14,261,567.4313072439634,76.03205661948374,151,80.0,0,2
ART_00145-3,632,145967,3,225,574.0664556962026,89.87183544303798,255,242.0,0,0
ART_00145-4,45,7735,2,45,573.088888888889,8.566666666666663,191,174.0,2,0
ART_00145-5,47,3342,7,24,566.9787234042552,286.9042553191489,84,69.0,3,4
ART_00146-0,24,1650,17,2,93.75,433.875,74,69.0,1,4
ART_00146-1,38,2911,14,2,43.13157894736844,433.60526315789474,98,73.5,1,4
ART_00146-2,9200,850386,68,654,563.2098913043477,114.92456521739132,242,74.0,3,1
ART_00146-3,2490,207532,14,281,567.5477911646587,83.20562248995986,151,79.0,0,2
ART_00146-4,633,147810,3,225,574.0631911532383,92.20774091627176,255,247.0,0,0
ART_00146-5,45,7378,2,45,573.088888888889,6.566666666666663,187,166.0,2,0
ART_00146-6,226,28579,29,10,89.0353982300885,429.8982300884956,175,134.5,2,3
ART_00147-0,5042,361016,16,580,570.9639032130108,64.34232447441491,185,68.0,0,1
ART_00147-1,1865,163899,11,254,569.4873994638068,87.85442359249329,188,77.0,0,2
ART_00147-2,45,8471,1,45,574.0444444444445,2.5444444444444234,209,190.0,0,0
ART_00147-3,402,95153,1,223,574.5572139303483,97.64676616915426,255,237.0,0,0
ART_00148-0,5918,478714,34,592,569.0101385603244,93.6816492058128,255,70.0,0,1
ART_00148-1,1940,150752,12,234,568.2783505154639,72.41134020618556,142,75.0,0,2
ART_00148-2,448,104946,1,225,574.5044642857142,78.75669642857143,255,240.0,0,0
ART_00148-3,40,5746,2,47,573.075,8.375,163,142.0,3,0
ART_00148-4,181,28704,3,179,573.0055248618785,102.48342541436466,190,161.0,0,0
ART_00149-0,366,40638,35,42,533.0136612021856,352.5109289617487,218,84.0,1,3
ART_00149-1,3602,277246,16,483,571.352581898945,113.09189339255973,237,68.0,3,1
ART_00149-2,33,2955,6,7,362.6363636363636,70.19696969696969,112,89.0,3,2
ART_00149-3,1911,161102,11,235,569.3071690214548,103.94270015698591,182,76.0,0,2
ART_00149-4,46,7111,1,46,574.0434782608695,15.956521739130435,182,155.5,0,0
ART_00149-5,398,91831,2,222,574.5477386934674,117.2311557788945,255,230.0,3,0
ART_00150-0,7168,510371,23,623,569.5924944196429,30.297014508928555,118,71.0,3,1
ART_00150-1,3305,285533,15,242,568.4481089258701,88.32027231467475,208,81.0,0,2
ART_00151-0,6914,484449,32,614,569.6210587214348,23.585044836563497,98,70.0,2,1
ART_00151-1,2538,202806,14,234,569.8715524034674,108.6024428684003,144,77.0,0,2
ART_00152-0,7016,525273,41,650,568.9905929304447,41.36758836944125,201,71.0,0,1
ART_00152-1,2590,215973,12,234,569.7976833976834,83.96833976833977,182,78.0,0,2
ART_00152-2,993,152130,31,57,553.9677744209466,298.2573011077543,200,167.0,2,3
ART_00153-0,389,30154,26,25,542.0925449871465,330.2197943444731,107,73.0,3,4
ART_00153-1,6930,485326,20,595,568.5991341991341,34.77662337662338,93,70.0,3,1
ART_00153-2,3180,270223,16,235,569.4786163522012,96.29056603773586,222,77.0,0,2
ART_00154-0,6286,443800,18,607,570.2917594654789,37.685014317531,104,70.0,3,1
ART_00154-1,2342,185439,11,235,570.3334756618276,91.62894961571304,144,76.0,0,2
ART_00154-2,397,51906,30,55,545.7632241813601,329.2556675062972,189,139.0,1,3
ART_00155-0,6321,453934,22,608,569.7448188577756,65.80011074197121,159,70.0,2,1
ART_00155-1,73,6665,5,18,573.2876712328766,177.8835616438356,144,81.0,1,2
ART_00155-2,3232,286826,22,293,569.6460396039604,88.10179455445541,199,80.0,0,2
ART_00155-3,687,78618,75,86,524.5429403202329,358.92503639010187,160,119.0,0,3
ART_00156-0,118,12840,16,19,531.1864406779662,356.51694915254234,160,105.5,1,3
ART_00156-1,7626,570080,39,653,568.5098347757671,47.361132966168384,193,72.0,3,1
ART_00156-2,4084,395291,39,379,565.9647404505388,161.38638589618014,193,83.0,0,2
ART_00156-3,387,42340,36,31,503.20930232558135,380.7764857881138,151,114.0,2,3
ART_00157-0,47,6359,23,3,409.42553191489367,430.58510638297867,181,132.0,1,3
ART_00157-1,46,3560,14,18,543.9130434782609,341.0869565217391,110,73.5,2,4
ART_00157-2,5420,378739,16,577,570.9579335793358,30.393726937269374,125,69.0,3,1
ART_00157-3,4334,502014,42,329,565.1365943700969,164.39409321642825,204,90.0,2,1
ART_00158-0,2667,183996,23,443,572.0824896887889,132.86295463067114,118,67.0,0,2
ART_00158-1,1991,149125,18,229,570.8930185836264,114.83098945253641,161,72.0,0,2
ART_00159-0,6116,425926,25,605,570.6244277305427,20.428221059516034,95,69.0,0,2
ART_00159-1,2477,186777,17,232,569.9398465886153,84.19317723052076,114,74.0,0,2
ART_00160-0,24,1595,27,1,7.75,434.25,71,66.0,0,4
ART_00160-1,276,38195,29,10,127.94202898550724,429.9528985507246,187,150.0,2,3
ART_00160-2,29,2222,11,9,43.44827586206896,424.5344827586207,97,75.0,0,4
ART_00160-3,7534,658008,106,692,558.1275550836209,124.10817626758694,192,72.0,2,1
ART_00160-4,2930,253527,12,282,569.746757679181,102.31877133105795,189,79.0,0,2
ART_00160-5,1589,211367,72,90,524.9257394587793,351.8417243549402,190,139.0,1,3
ART_00161-0,336,41786,43,39,514.702380952381,372.72916666666674,167,136.0,1,3
ART_00161-1,4569,339121,16,544,570.9800831691838,83.9235062376888,176,70.0,0,1
ART_00161-2,2438,204511,11,235,570.1361771944216,91.5283018867924,203,77.0,0,2
ART_00162-0,4435,305241,17,562,569.7357384441939,99.98297632468996,108,68.0,0,2
ART_00162-1,2077,155734,13,231,571.7948964853152,85.43163216177179,113,74.0,0,2
ART_00163-0,24,1881,12,4,60.375,431.66666666666674,98,77.0,3,4
ART_00163-1,27,4062,9,3,60.07407407407402,433.53703703703695,173,152.0,2,3
ART_00163-2,4995,345540,15,583,571.34994994995,44.349049049049036,103,69.0,3,1
ART_00163-3,2582,207620,13,233,569.7819519752129,89.35205267234699,149,77.0,0,2
ART_00163-4,373,52059,32,29,517.7855227882037,366.5777479892762,176,153.0,3,3
ART_00164-0,5980,425997,34,556,568.2988294314382,76.97140468227424,104,70.0,3,1
ART_00164-1,2728,233392,14,235,569.5359237536658,89.55571847507332,212,78.0,0,2
ART_00164-2,182,41081,1,179,575.9835164835165,116.10439560439562,250,226.0,0,0
ART_00164-3,40,6651,0,39,576.0,5.0,187,170.0,0,0
ART_00164-4,30,2303,10,13,540.3333333333333,345.2000000000001,96,74.5,1,4
ART_00165-0,571,74774,42,46,525.4465849387042,358.9816112084063,168,139.0,1,3
ART_00165-1,31,2112,6,6,444.96774193548384,258.758064516129,73,68.0,3,4
ART_00165-2,5326,369374,16,572,569.558205031919,69.53924145700336,91,69.0,3,1
ART_00165-3,50,3297,17,47,397.36,207.18,70,65.0,3,4
ART_00165-4,2500,195782,14,233,570.9004,90.5512,147,76.0,0,2
ART_00165-5,93,8723,18,30,452.39784946236574,338.42473118279565,125,94.0,3,4
ART_00165-6,70,5923,10,18,439.1714285714286,383.25714285714287,109,82.5,2,4
