ART_00001-0,1
ART_00001-1,2
ART_00001-2,0
ART_00001-3,0
ART_00001-4,3
ART_00002-0,3
ART_00002-1,4
ART_00002-2,4
ART_00002-3,1
ART_00002-4,2
ART_00002-5,0
ART_00003-0,4
ART_00003-1,3
ART_00003-2,1
ART_00003-3,0
ART_00003-4,3
ART_00003-5,3
ART_00004-0,2
ART_00004-1,2
ART_00005-0,1
ART_00005-1,2
ART_00005-2,0
ART_00005-3,2
ART_00006-0,1
ART_00006-1,2
ART_00006-2,0
ART_00007-0,1
ART_00007-1,0
ART_00007-2,3
ART_00008-0,2
ART_00008-1,2
ART_00008-2,0
ART_00008-3,0
ART_00009-0,2
ART_00009-1,0
ART_00010-0,1
ART_00010-1,2
ART_00010-2,2
ART_00010-3,0
ART_00010-4,2
ART_00010-5,3
ART_00011-0,3
ART_00011-1,1
ART_00011-2,2
ART_00011-3,1
ART_00011-4,0
ART_00011-5,2
ART_00011-6,3
ART_00012-0,1
ART_00012-1,2
ART_00012-2,3
ART_00012-3,3
ART_00012-4,4
ART_00013-0,2
ART_00013-1,4
ART_00013-2,3
ART_00013-3,2
ART_00013-4,0
ART_00014-0,2
ART_00015-0,1
ART_00015-1,0
ART_00016-0,1
ART_00016-1,0
ART_00017-0,1
ART_00017-1,0
ART_00018-0,2
ART_00018-1,2
ART_00018-2,2
ART_00018-3,0
ART_00019-0,2
ART_00019-1,2
ART_00019-2,0
ART_00020-0,1
ART_00020-1,0
ART_00021-0,4
ART_00021-1,1
ART_00021-2,4
ART_00021-3,4
ART_00021-4,0
ART_00022-0,1
ART_00022-1,1
ART_00022-2,4
ART_00022-3,3
ART_00023-0,4
ART_00023-1,1
ART_00023-2,0
ART_00023-3,4
ART_00023-4,4
ART_00023-5,4
ART_00024-0,4
ART_00024-1,4
ART_00024-2,4
ART_00024-3,4
ART_00024-4,1
ART_00024-5,0
ART_00024-6,3
ART_00024-7,3
ART_00025-0,2
ART_00025-1,2
ART_00025-2,0
ART_00025-3,0
ART_00026-0,1
ART_00026-1,0
ART_00026-2,3
ART_00027-0,4
ART_00027-1,1
ART_00027-2,4
ART_00027-3,2
ART_00027-4,4
ART_00027-5,2
ART_00027-6,1
ART_00027-7,2
ART_00027-8,4
ART_00027-9,3
ART_00028-0,2
ART_00028-1,2
ART_00028-2,2
ART_00029-0,4
ART_00029-1,4
ART_00029-2,1
ART_00029-3,4
ART_00029-4,4
ART_00029-5,4
ART_00029-6,1
ART_00029-7,4
ART_00029-8,4
ART_00029-9,4
ART_00029-10,2
ART_00029-11,4
ART_00029-12,2
ART_00029-13,2
ART_00029-14,4
ART_00029-15,4
ART_00029-16,4
ART_00030-0,4
ART_00030-1,2
ART_00030-2,2
ART_00031-0,1
ART_00031-1,2
ART_00031-2,4
ART_00031-3,1
ART_00031-4,0
ART_00031-5,0
ART_00032-0,1
ART_00032-1,2
ART_00033-0,1
ART_00033-1,4
ART_00033-2,2
ART_00033-3,2
ART_00033-4,0
ART_00034-0,1
ART_00034-1,2
ART_00034-2,4
ART_00034-3,4
ART_00035-0,4
ART_00035-1,3
ART_00035-2,3
ART_00035-3,1
ART_00035-4,2
ART_00035-5,0
ART_00035-6,4
ART_00036-0,2
ART_00036-1,2
ART_00037-0,2
