Cluster,NumPixels,Volume,DeltaX,DeltaY,CentroidX,CentroidY,MaxIntensity,MedianIntensity,Shape
0,997.5670498084291,150485.62835249043,11.367816091954023,176.40996168582376,569.0567033654332,80.42726589728731,226.66666666666666,180.74904214559388,0.5287356321839081
1,8486.720430107527,679394.3548387097,85.02508960573476,586.2939068100359,559.3568515348417,75.57633705021247,188.59498207885304,74.61290322580645,2.193548387096774
2,1277.1654135338347,101824.92857142857,12.541353383458647,184.09774436090225,551.0874098318263,114.94129020054746,125.65977443609023,75.3656015037594,0.8327067669172933
3,512.2928571428571,81779.42857142857,64.74285714285715,33.375,436.2748118900114,363.8611158807958,195.23214285714286,150.77142857142857,1.5071428571428571
4,245.19713261648747,19265.541218637994,79.33512544802868,15.82078853046595,278.3247063983239,357.322290342838,92.52867383512545,73.04569892473118,1.8297491039426523
