,0
0,0.17212971623104878
1,0.24046017383077203
2,0.283767460750483
3,0.3175367993131943
4,0.35109190688614483
5,0.3835876552510276
6,0.4151977285092385
7,0.4450208402446282
8,0.4668217577847674
9,0.48853987590595327
10,0.5079252605614699
11,0.5261438766569957
12,0.5417164128675122
13,0.5558744126719231
14,0.5698184358472265
15,0.5822756275443783
16,0.594466767982324
17,0.6058064188857246
18,0.6168842506327431
19,0.627268093328021
20,0.6371660158365191
21,0.6468475769875943
22,0.656217973256729
23,0.6648541714514101
24,0.6725765750144854
25,0.679882251153655
26,0.6870217647783563
27,0.6936245038259138
28,0.7001521946725565
29,0.7064416591865346
30,0.712398745461381
31,0.7179321921626363
32,0.7233380401148888
33,0.728721982524936
34,0.7340280677694693
35,0.7391987176046015
36,0.7440628085935401
37,0.7484619917192176
38,0.7528502773940003
39,0.7571784860026759
40,0.7614361247365828
41,0.7650404868646797
42,0.7685438616429066
43,0.7719215938043298
44,0.7752411484790193
45,0.7785196098249546
46,0.7816465337022002
47,0.7846703558675445
48,0.7876805430809858
49,0.7906772306148043
50,0.7935888423483628
51,0.7964194306517185
52,0.7992065353528529
53,0.801927240427591
54,0.8045894462819183
55,0.8071923792481684
56,0.809737700227947
57,0.8122125901533521
58,0.814592113484961
59,0.8169639749471936
60,0.8191822776702462
61,0.8213771620973677
62,0.8235434825361412
63,0.8256033023117623
64,0.8276512905771349
65,0.8296073704900925
66,0.8314934538884348
67,0.8333508828005353
68,0.8350037245247032
69,0.8366489347111278
70,0.838261628792047
71,0.8398138723048986
72,0.841321691464804
73,0.8428032252677936
74,0.8442485506622908
